"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.130111256E2,5.237346159E1,4.900725961E0,2.802070257E0,1.594223138E0,2.736721569E1,7.224577956E0,2.485383086E0
1.140111241E2,5.237347603E1,4.900726354E0,2.768611643E0,1.551833066E0,2.557910919E1,7.269714388E0,2.569685227E0
1.150111232E2,5.237348366E1,4.900736397E0,2.718806145E0,1.524780837E0,2.624325484E1,7.493049041E0,2.533498878E0
1.160111219E2,5.237349860E1,4.900724085E0,2.927014577E0,1.524767457E0,2.320914140E1,7.405686460E0,2.656871077E0
1.170111216E2,5.237350335E1,4.900725962E0,2.843748018E0,1.422420788E0,2.368639772E1,7.575096313E0,2.609966832E0
1.180111200E2,5.237350904E1,4.900751892E0,2.857541301E0,1.412024310E0,2.985200670E1,7.604521820E0,2.716570491E0
1.190111201E2,5.237352842E1,4.900743564E0,2.523936065E0,1.362190198E0,2.341589370E1,7.748062904E0,2.749156646E0
1.200111183E2,5.237354246E1,4.900739778E0,2.209908902E0,1.357482658E0,2.169917969E1,7.567685687E0,2.730616139E0
1.210111175E2,5.237355651E1,4.900726846E0,2.746910831E0,1.424061678E0,1.670573293E1,7.058784304E0,2.795119334E0
1.220111164E2,5.237356856E1,4.900753272E0,2.479924240E0,1.522181298E0,2.457568565E1,6.439625521E0,3.045314414E0
1.230111160E2,5.237358210E1,4.900758525E0,2.689889858E0,1.544912167E0,2.333316413E1,6.746877668E0,2.965901120E0
1.240111145E2,5.237359165E1,4.900761610E0,2.695243226E0,1.420911349E0,2.516472168E1,7.052926124E0,2.783431050E0
1.250111133E2,5.237361051E1,4.900754603E0,2.710747641E0,1.500579714E0,1.948331748E1,7.234609557E0,2.722174790E0
1.260111123E2,5.237363356E1,4.900740772E0,2.643424506E0,1.611331989E0,1.271613209E1,7.185028724E0,2.848921217E0
1.270111120E2,5.237364178E1,4.900755216E0,2.880711515E0,1.503599238E0,1.497522490E1,7.158259743E0,2.980970358E0
1.280111099E2,5.237364290E1,4.900790145E0,2.430935277E0,1.234053526E0,2.285370253E1,6.959391208E0,3.002970226E0
1.290111089E2,5.237365251E1,4.900796060E0,2.388514347E0,1.312669274E0,2.053267452E1,6.820413446E0,2.993298266E0
1.300111084E2,5.237366385E1,4.900803046E0,2.466324326E0,1.353947749E0,2.091266312E1,6.732057068E0,3.008204367E0
1.310111071E2,5.237367535E1,4.900817530E0,2.435722014E0,1.424617812E0,2.367186973E1,6.690381356E0,2.995683322E0
1.320111059E2,5.237368510E1,4.900836660E0,2.107321023E0,1.426609344E0,2.718791921E1,7.004931949E0,2.868195502E0
1.330116342E2,5.237369583E1,4.900844339E0,2.731672003E0,1.370959446E0,2.732770340E1,7.375194826E0,2.762010622E0
1.340116379E2,5.237370524E1,4.900862466E0,2.870232880E0,1.319588967E0,3.105006001E1,7.674788929E0,2.692763917E0
1.350116326E2,5.237371816E1,4.900861911E0,3.066525000E0,1.215570212E0,2.519149895E1,7.672661126E0,2.708176939E0
1.360116316E2,5.237373625E1,4.900867311E0,2.828855515E0,1.250824508E0,2.114958753E1,7.548890619E0,2.711890309E0
1.370116307E2,5.237375002E1,4.900855628E0,2.757914090E0,1.149695832E0,1.624311210E1,7.524552647E0,2.780063250E0
1.380116227E2,5.237375657E1,4.900866872E0,3.116131774E0,1.130467992E0,1.831889189E1,7.346308638E0,2.837784217E0
1.390116202E2,5.237376944E1,4.900870764E0,3.170156728E0,1.250951938E0,2.026399035E1,7.193643502E0,2.842823917E0
1.400116180E2,5.237378042E1,4.900861214E0,2.412281114E0,1.291709120E0,1.914796546E1,6.902707481E0,2.878538285E0
1.410116099E2,5.237380325E1,4.900868928E0,2.866948267E0,1.403405654E0,1.492095624E1,6.188655795E0,3.022146784E0
1.420116088E2,5.237380920E1,4.900865067E0,2.778243918E0,1.380076402E0,1.239242292E1,5.932409936E0,3.110684719E0
1.430116079E2,5.237382371E1,4.900871217E0,2.647877180E0,1.525825249E0,1.297551030E1,5.809054529E0,3.112745424E0
1.440115963E2,5.237383855E1,4.900876206E0,2.732697059E0,1.563640361E0,1.304583217E1,6.134760997E0,3.092232882E0
1.450115883E2,5.237385556E1,4.900872912E0,2.572531344E0,1.593204580E0,1.124901771E1,6.559577135E0,3.011659352E0
1.460115821E2,5.237387341E1,4.900875596E0,2.763956023E0,1.783746320E0,1.373008449E1,7.000031415E0,2.837308665E0
1.470115690E2,5.237388082E1,4.900878686E0,2.472846958E0,1.491858577E0,1.843272771E1,7.203625267E0,2.811343836E0
1.480115565E2,5.237389988E1,4.900868719E0,2.790278426E0,1.534177790E0,1.405637124E1,7.456104458E0,2.822678689E0
1.490115449E2,5.237390691E1,4.900891586E0,2.643129176E0,1.425557237E0,2.107373852E1,7.418575427E0,2.800112628E0
1.500115337E2,5.237392251E1,4.900890326E0,2.866587612E0,1.403600260E0,1.919919072E1,7.478091844E0,2.890777706E0
1.510115235E2,5.237392933E1,4.900887829E0,3.738993049E0,1.304552865E0,1.991885320E1,7.584904106E0,2.898553981E0
1.520115131E2,5.237394372E1,4.900887326E0,2.559725871E0,1.282127981E0,1.752738519E1,7.673429574E0,2.867829678E0
1.530115042E2,5.237394917E1,4.900893370E0,2.904261021E0,1.165006382E0,1.847873334E1,7.890622886E0,2.796876360E0
1.540114950E2,5.237396658E1,4.900887014E0,2.618696314E0,1.321364930E0,1.361306203E1,8.117219104E0,2.681465667E0
1.550114866E2,5.237397595E1,4.900889139E0,2.504745580E0,1.275670428E0,1.509083236E1,8.182911162E0,2.805685346E0
1.560114781E2,5.237398953E1,4.900893718E0,2.561045511E0,1.180092172E0,1.306834339E1,8.106631265E0,2.823311552E0
1.570114704E2,5.237399795E1,4.900905735E0,2.955123669E0,1.134401628E0,1.550268091E1,8.368969132E0,2.772395190E0
1.580114627E2,5.237400774E1,4.900901573E0,2.897822558E0,1.101422517E0,1.032201591E1,8.331017014E0,2.719538953E0
