"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.254748422E2,5.237701740E1,4.898697376E0,2.914291160E0,8.733623032E-1,1.530378541E2,4.893511984E0,3.142940899E0
1.264748465E2,5.237700508E1,4.898706458E0,3.506701547E0,8.500619452E-1,1.592866415E2,4.890045939E0,3.148330946E0
1.274748508E2,5.237699022E1,4.898721278E0,3.551725778E0,1.049475170E0,1.563976761E2,4.886649381E0,3.153600301E0
1.284748539E2,5.237696996E1,4.898737152E0,3.986489415E0,1.255613995E0,1.556187580E2,4.886448374E0,3.153911748E0
1.294748589E2,5.237695159E1,4.898750336E0,3.554636300E0,1.282419636E0,1.526334332E2,4.889594595E0,3.149031871E0
1.304748629E2,5.237693529E1,4.898760189E0,3.611963645E0,1.311109766E0,1.562092624E2,4.915781432E0,3.107994521E0
1.314748671E2,5.237691638E1,4.898771308E0,3.589897574E0,1.344564438E0,1.578526208E2,4.964831992E0,3.029022998E0
1.324752593E2,5.237690442E1,4.898783444E0,3.344049857E0,1.209859742E0,1.572483780E2,4.907861932E0,3.120485266E0
1.334752618E2,5.237689861E1,4.898805575E0,3.440809048E0,1.113657369E0,1.459042074E2,4.898394064E0,3.135326558E0
1.344752551E2,5.237689508E1,4.898821948E0,3.685807542E0,1.156845437E0,1.408467122E2,4.851653552E0,3.207178642E0
1.354752481E2,5.237689348E1,4.898828119E0,3.952357527E0,1.208511569E0,1.418421500E2,4.820261467E0,3.254169083E0
1.364752407E2,5.237688283E1,4.898847367E0,4.017327541E0,1.220994471E0,1.387635367E2,4.804871152E0,3.276850659E0
1.374752252E2,5.237687274E1,4.898859342E0,4.672034548E0,1.225388670E0,1.397611301E2,4.807122838E0,3.273546556E0
1.384752126E2,5.237685563E1,4.898881216E0,4.413568435E0,1.611716568E0,1.391320110E2,4.832245403E0,3.236346921E0
1.394752015E2,5.237684579E1,4.898897250E0,4.204468690E0,1.652386508E0,1.402080530E2,4.832306542E0,3.236255632E0
1.404751860E2,5.237683748E1,4.898914532E0,1.929764548E0,1.516284642E0,1.406921680E2,4.858834658E0,3.196288910E0
1.414751748E2,5.237682595E1,4.898937480E0,2.266009698E0,1.617885348E0,1.370474495E2,4.859288010E0,3.195599642E0
1.424751585E2,5.237681692E1,4.898960003E0,2.853522137E0,1.682012035E0,1.332967846E2,4.863031158E0,3.189900468E0
1.434751370E2,5.237681292E1,4.898981561E0,2.034646789E0,1.589929455E0,1.291703435E2,4.868568006E0,3.181443477E0
1.444751205E2,5.237680381E1,4.898998587E0,2.338469918E0,1.465565477E0,1.295700008E2,4.872076215E0,3.176068386E0
1.454751043E2,5.237679296E1,4.899022785E0,2.843435339E0,1.511636339E0,1.308597781E2,4.859287182E0,3.195600900E0
1.464750835E2,5.237677737E1,4.899050515E0,3.157324424E0,1.648304423E0,1.286552558E2,4.861671386E0,3.191972489E0
1.474750620E2,5.237677090E1,4.899068615E0,4.251256732E0,1.639564151E0,1.279787103E2,4.840929886E0,3.223342189E0
1.484750431E2,5.237676315E1,4.899092103E0,3.963876134E0,1.708355717E0,1.277723411E2,4.815189870E0,3.261668828E0
1.494750245E2,5.237675338E1,4.899099953E0,3.875169214E0,1.721433978E0,1.311928187E2,4.793915015E0,3.292858312E0
1.504750074E2,5.237674700E1,4.899109002E0,3.185956693E0,1.677347041E0,1.310587667E2,4.780425798E0,3.312410939E0
1.514749917E2,5.237674404E1,4.899122219E0,3.213835070E0,1.679843241E0,1.293663434E2,4.769844282E0,3.327630171E0
1.524749783E2,5.237674211E1,4.899135462E0,2.777096543E0,1.671026880E0,1.264475595E2,4.763715329E0,3.336398253E0
1.534749635E2,5.237673981E1,4.899156219E0,2.756218142E0,1.656572896E0,1.218494611E2,4.756856015E0,3.346170630E0
