"Time (s)","Distance (cm)"
2.746476733E2,5.000000000E0
2.752476939E2,0.000000000E0
2.756477464E2,5.000000000E0
2.763476925E2,0.000000000E0
2.767478756E2,5.000000000E0
2.773476940E2,0.000000000E0
2.779477668E2,5.000000000E0
2.785476769E2,0.000000000E0
2.789476968E2,5.000000000E0
2.795477133E2,0.000000000E0
2.799476659E2,5.000000000E0
2.805477890E2,0.000000000E0
2.812476831E2,5.000000000E0
2.818478846E2,0.000000000E0
2.822476860E2,5.000000000E0
2.828476999E2,0.000000000E0
2.832477050E2,5.000000000E0
2.840476718E2,0.000000000E0
2.844476730E2,5.000000000E0
2.850476819E2,0.000000000E0
2.854478172E2,5.000000000E0
2.860476791E2,0.000000000E0
2.867478067E2,5.000000000E0
2.873476990E2,0.000000000E0
2.877476895E2,5.000000000E0
2.883476989E2,0.000000000E0
2.889476693E2,5.000000000E0
2.893478216E2,0.000000000E0
2.899476638E2,5.000000000E0
2.905478857E2,0.000000000E0
2.909476972E2,5.000000000E0
2.915476824E2,0.000000000E0
2.920476760E2,5.000000000E0
2.926476821E2,0.000000000E0
2.932476634E2,5.000000000E0
2.938477003E2,0.000000000E0
2.942478597E2,5.000000000E0
2.948476997E2,0.000000000E0
2.954477394E2,5.000000000E0
2.960476831E2,0.000000000E0
2.964476683E2,5.000000000E0
2.971476788E2,0.000000000E0
2.975476744E2,5.000000000E0
2.981477292E2,0.000000000E0
2.987476834E2,5.000000000E0
2.993477268E2,0.000000000E0
2.997476855E2,5.000000000E0
3.003477004E2,0.000000000E0
3.009476687E2,5.000000000E0
3.015476798E2,0.000000000E0
3.019477148E2,5.000000000E0
3.026476782E2,0.000000000E0
3.030477665E2,5.000000000E0
3.036476877E2,0.000000000E0
3.040476735E2,5.000000000E0
3.048476895E2,0.000000000E0
3.052476844E2,5.000000000E0
3.058477007E2,0.000000000E0
3.062476840E2,5.000000000E0
3.068477037E2,0.000000000E0
3.074476664E2,5.000000000E0
3.081476807E2,0.000000000E0
3.085476686E2,5.000000000E0
3.091478049E2,0.000000000E0
3.095476755E2,5.000000000E0
3.101476872E2,0.000000000E0
3.107476856E2,5.000000000E0
3.113477013E2,0.000000000E0
3.117479062E2,5.000000000E0
3.123476956E2,0.000000000E0
3.130478323E2,5.000000000E0
3.134476634E2,0.000000000E0
3.140476719E2,5.000000000E0
3.146476819E2,0.000000000E0
3.150476727E2,5.000000000E0
3.156477258E2,0.000000000E0
3.162476816E2,5.000000000E0
3.166477428E2,0.000000000E0
3.172476858E2,5.000000000E0
3.178478034E2,0.000000000E0
3.183476878E2,5.000000000E0
3.189476760E2,0.000000000E0
3.195476751E2,5.000000000E0
3.201476881E2,0.000000000E0
3.207476872E2,5.000000000E0
3.211476789E2,0.000000000E0
3.217478126E2,5.000000000E0
3.223477006E2,0.000000000E0
3.227476872E2,5.000000000E0
3.233476998E2,0.000000000E0
3.240476754E2,5.000000000E0
3.246476828E2,0.000000000E0
3.250476745E2,5.000000000E0
3.256477287E2,0.000000000E0
3.262476847E2,5.000000000E0
3.268476909E2,0.000000000E0
