"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.190542958E0,-6.756938994E-2,-1.815172672E0,-1.687829942E-1
2.200548958E0,-5.776653886E-1,-2.020614624E0,-1.639275253E-1
2.210555958E0,-1.073068857E0,-2.180382252E0,-1.423406303E-1
2.220561958E0,-1.499241233E0,-2.184658766E0,-4.047258571E-2
2.230568958E0,-1.762065768E0,-1.869138956E0,1.066886783E-1
2.240574958E0,-1.851968765E0,-1.324494600E0,3.138341308E-1
2.250581958E0,-1.727752447E0,-6.654893756E-1,4.941300452E-1
2.260588958E0,-1.045980215E0,1.043703258E-1,6.277278066E-1
2.270594958E0,4.396055937E-1,8.625253439E-1,5.191956758E-1
2.280601958E0,2.193755865E0,6.404196024E-1,1.924631745E-2
2.290607958E0,3.330493927E0,-1.101724267E0,-6.160448790E-1
2.300614958E0,3.438403606E0,-2.685282230E0,-7.919373512E-1
2.310621958E0,3.054485798E0,-3.002102613E0,-5.721209049E-1
2.320627958E0,2.371330023E0,-2.427489042E0,-2.810874581E-1
2.330634958E0,1.350202441E0,-1.230498433E0,-3.407355025E-2
2.340640958E0,2.409955710E-1,-9.581840783E-2,1.181737781E-1
2.350647958E0,-6.747289896E-1,3.046778142E-1,1.781336516E-1
2.360654958E0,-1.543464184E0,3.851516247E-1,1.417886913E-1
2.370660958E0,-2.268195868E0,7.294983864E-1,2.478078939E-3
2.380667958E0,-2.701930523E0,1.714348435E0,-2.159349620E-1
2.390673958E0,-2.749447823E0,3.066571474E0,-3.318052590E-1
2.400680833E0,-2.351704359E0,4.080624580E0,-1.940513998E-1
2.410687833E0,-1.391734362E0,4.230552197E0,1.316185594E-1
2.420693833E0,-2.154504955E-1,2.803657293E0,8.315329254E-2
2.430700833E0,1.054247096E-1,3.757501841E-1,-3.836770952E-1
2.440706833E0,-2.795405686E-1,-1.048031926E0,-7.143192291E-1
2.450713833E0,-6.555985212E-1,-1.303022742E0,-7.352479696E-1
2.460720833E0,-9.593064785E-1,-8.320003152E-1,-5.967507958E-1
2.470726833E0,-1.315774083E0,-6.336350739E-2,-5.058725476E-1
2.480733833E0,-1.761813641E0,6.619638801E-1,-4.228205383E-1
2.490739833E0,-2.234805346E0,1.174389958E0,-2.822041512E-1
2.500746833E0,-2.643478394E0,1.476815820E0,-1.241439283E-1
2.510753833E0,-2.902602673E0,1.612300396E0,5.714143813E-2
2.520759833E0,-3.015276670E0,1.625163436E0,2.130807042E-1
2.530766833E0,-3.006328821E0,1.605570316E0,2.848275602E-1
2.540772833E0,-2.907558918E0,1.565843940E0,2.606231570E-1
2.550779833E0,-2.768937826E0,1.320525408E0,1.302463561E-1
2.560786833E0,-2.742148399E0,-6.455563903E-1,-9.162797779E-2
2.570792833E0,-2.534532547E0,-2.718451977E0,-2.214156687E-1
2.580799833E0,-1.974986672E0,-3.379604340E0,-1.603533775E-1
2.590805833E0,-1.225728273E0,-2.967750072E0,1.217967644E-2
2.600812833E0,-5.363512039E-1,-2.214092970E0,2.485173792E-1
2.610819833E0,-1.095268428E-1,-1.535632968E0,5.553625822E-1
2.620825833E0,-6.846489012E-2,-1.104875445E0,9.002848268E-1
2.630832833E0,-3.983969986E-1,-9.086183906E-1,1.130447268E0
2.640838833E0,-8.895395398E-1,-6.365879178E-1,1.130275726E0
2.650845833E0,-1.351442456E0,-1.821116209E-1,1.001380205E0
2.660852833E0,-1.736455441E0,3.247356117E-1,8.904177547E-1
2.670858833E0,-2.110781193E0,7.273600698E-1,8.625082970E-1
2.680865833E0,-2.461384296E0,9.342828989E-1,9.245703220E-1
2.690871833E0,-2.692667484E0,1.044806242E0,9.653638601E-1
2.700878833E0,-2.752695799E0,1.090843439E0,9.071394801E-1
2.710885833E0,-2.684729099E0,9.337443709E-1,7.845848799E-1
2.720891833E0,-2.529314041E0,4.170809686E-1,6.305910349E-1
2.730898833E0,-2.253462791E0,-4.116291702E-1,4.406673610E-1
2.740904833E0,-1.749403477E0,-1.202262878E0,1.988861561E-1
2.750911833E0,-1.103789926E0,-1.701068282E0,-1.234428436E-1
2.760918833E0,-5.992916822E-1,-1.864444375E0,-4.438600242E-1
2.770924833E0,-5.096850991E-1,-1.900232196E0,-6.159834862E-1
2.780931833E0,-8.051502705E-1,-1.670847178E0,-6.309036016E-1
2.790937833E0,-1.288976431E0,-1.055611491E0,-5.154798031E-1
2.800944833E0,-1.730699778E0,-1.861794889E-1,-3.361545503E-1
2.810951833E0,-1.930855155E0,5.893017054E-1,-1.420276016E-1
2.820957833E0,-1.835469246E0,8.701800108E-1,-3.289632499E-2
