"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.076255333E0,-2.850640869E1,2.434032440E1,-1.821706390E1
2.086262333E0,-2.857450104E1,2.411534119E1,-1.857368469E1
2.096268333E0,-2.856785583E1,2.385960388E1,-1.884769440E1
2.106275333E0,-2.835824585E1,2.353844452E1,-1.927904510E1
2.116282333E0,-2.854621124E1,2.343506622E1,-1.957748413E1
2.126289333E0,-2.833245087E1,2.339395905E1,-1.977259827E1
2.136296333E0,-2.819982910E1,2.313081360E1,-2.047936249E1
2.146302333E0,-2.797703552E1,2.304563904E1,-2.059276581E1
2.156309333E0,-2.803141022E1,2.293923187E1,-2.062569427E1
2.166316333E0,-2.777257538E1,2.292208099E1,-2.084601593E1
2.176323333E0,-2.800475311E1,2.286588287E1,-2.115870667E1
2.186329833E0,-2.802712250E1,2.278156281E1,-2.128535461E1
2.196336833E0,-2.846392059E1,2.275914764E1,-2.139870453E1
2.206342833E0,-2.839157104E1,2.256944275E1,-2.123256683E1
2.216349833E0,-2.845233917E1,2.248394012E1,-2.123545074E1
2.226356833E0,-2.856724548E1,2.248481750E1,-2.108032990E1
2.236363833E0,-2.856267548E1,2.224945068E1,-2.102529907E1
2.246370833E0,-2.845525360E1,2.231341553E1,-2.077678680E1
2.256377833E0,-2.859217072E1,2.238208008E1,-2.077802277E1
2.266383833E0,-2.871944427E1,2.237273407E1,-2.042179871E1
2.276390833E0,-2.886470032E1,2.245449829E1,-2.005918884E1
2.286397833E0,-2.930741119E1,2.249666595E1,-1.969048309E1
2.296404833E0,-2.920358276E1,2.292117310E1,-1.923234558E1
2.306411833E0,-2.960217285E1,2.298419952E1,-1.822233582E1
2.316418833E0,-2.986492157E1,2.327030945E1,-1.714880371E1
2.326424833E0,-3.027053070E1,2.321752167E1,-1.649759674E1
2.336431833E0,-3.069774628E1,2.351152039E1,-1.567373657E1
2.346438833E0,-3.118025208E1,2.335679626E1,-1.516590118E1
2.356445833E0,-3.122548676E1,2.293346405E1,-1.533285522E1
2.366452833E0,-3.163393402E1,2.244276428E1,-1.530104828E1
2.376458833E0,-3.194407654E1,2.224587250E1,-1.517613983E1
2.386465833E0,-3.222528076E1,2.217955017E1,-1.498993683E1
2.396472833E0,-3.225451660E1,2.185588074E1,-1.490926361E1
2.406479833E0,-3.209249115E1,2.186653137E1,-1.453371429E1
2.416486833E0,-3.204821777E1,2.224728394E1,-1.511466980E1
2.426493833E0,-3.179714203E1,2.236569214E1,-1.547242737E1
2.436499833E0,-3.150450134E1,2.262628937E1,-1.578054047E1
2.446506833E0,-3.131772614E1,2.275430298E1,-1.647332764E1
2.456513833E0,-3.100268555E1,2.282096863E1,-1.700423431E1
2.466520833E0,-3.058244324E1,2.280721283E1,-1.765678406E1
2.476527833E0,-2.985234070E1,2.287990570E1,-1.768592072E1
2.486534833E0,-3.026486969E1,2.282765961E1,-1.787471771E1
2.496540833E0,-3.092936707E1,2.260625458E1,-1.652664948E1
2.506547833E0,-3.165274048E1,2.214655304E1,-1.563761139E1
2.516554833E0,-3.229090118E1,2.201784515E1,-1.503417969E1
2.526561833E0,-3.265602112E1,2.185108948E1,-1.471997070E1
2.536568833E0,-3.284783936E1,2.179470062E1,-1.480643463E1
2.546575833E0,-3.231131744E1,2.180910492E1,-1.569877625E1
2.556581833E0,-3.198619843E1,2.177758789E1,-1.608792114E1
2.566588833E0,-3.193332672E1,2.159648132E1,-1.612795258E1
2.576595833E0,-3.172434235E1,2.168376923E1,-1.544814301E1
2.586602833E0,-3.196353149E1,2.188655853E1,-1.510576630E1
2.596609833E0,-3.165179443E1,2.230001068E1,-1.488790894E1
2.606616833E0,-3.141159058E1,2.265741730E1,-1.451657104E1
2.616622833E0,-3.179313660E1,2.338531494E1,-1.403943634E1
2.626629833E0,-3.173135376E1,2.391976929E1,-1.315875244E1
2.636636833E0,-3.173581696E1,2.448232269E1,-1.174290466E1
2.646643833E0,-3.165762329E1,2.495487976E1,-1.031440735E1
2.656650833E0,-3.168147278E1,2.551503754E1,-9.153121948E0
2.666657833E0,-3.155670166E1,2.626226807E1,-8.063957214E0
2.676663833E0,-3.145108795E1,2.659934235E1,-6.777832031E0
2.686670833E0,-3.148462677E1,2.686174774E1,-5.926376343E0
