"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.558649276E1,5.237599667E1,4.837033333E0,3.711354394E1,1.691377163E0,2.829500122E2,1.899999976E0,1.080000019E1
8.658649276E1,5.237601000E1,4.837026667E0,3.721355874E1,1.691891909E0,3.003699951E2,1.899999976E0,1.110000038E1
8.758649276E1,5.237602833E1,4.837020000E0,3.711358055E1,1.613139391E0,3.152799988E2,2.000000000E0,1.150000000E1
8.858649276E1,5.237604833E1,4.837021667E0,3.691360953E1,1.489091396E0,2.977200012E2,2.000000000E0,1.210000038E1
8.958649276E1,5.237606333E1,4.837020000E0,3.651362958E1,1.291952729E0,3.107099915E2,2.000000000E0,1.189999962E1
9.058649276E1,5.237607000E1,4.837020000E0,3.681363891E1,1.147315860E0,3.189500122E2,2.000000000E0,1.210000038E1
9.158649276E1,5.237607833E1,4.837020000E0,3.701365059E1,1.034076929E0,3.288500061E2,2.000000000E0,1.239999962E1
9.258649276E1,5.237609667E1,4.836988333E0,3.631365788E1,9.084846973E-1,3.255100098E2,2.000000000E0,1.260000038E1
9.358649276E1,5.237611500E1,4.836965000E0,3.611367001E1,8.791455626E-1,3.212600098E2,2.000000000E0,1.280000019E1
9.458649276E1,5.237612667E1,4.836943333E0,3.611367377E1,8.884105682E-1,3.124599915E2,2.099999905E0,1.280000019E1
9.558649276E1,5.237613833E1,4.836915000E0,3.611367366E1,8.889252543E-1,3.019100037E2,2.099999905E0,1.300000000E1
9.658649276E1,5.237615333E1,4.836875000E0,3.571367144E1,0.000000000E0,3.019100037E2,2.200000048E0,1.310000038E1
9.758649276E1,5.237617500E1,4.836826667E0,3.541367372E1,1.017091155E0,3.023099976E2,2.200000048E0,1.300000000E1
9.858649276E1,5.237619000E1,4.836770000E0,3.481366182E1,1.178713918E0,2.972000122E2,2.200000048E0,1.269999981E1
9.958649276E1,5.237619667E1,4.836715000E0,3.431363922E1,1.352175236E0,2.921700134E2,2.299999952E0,1.269999981E1
1.005864928E2,5.237619333E1,4.836660000E0,3.421360261E1,1.482399940E0,2.855799866E2,2.200000048E0,1.219999981E1
1.015864928E2,5.237619833E1,4.836563333E0,3.241355347E1,1.636816621E0,2.842999878E2,2.000000000E0,1.169999981E1
1.025864928E2,5.237619667E1,4.836501667E0,3.241351532E1,1.804616094E0,2.822099915E2,1.899999976E0,1.119999981E1
1.035864928E2,5.237620500E1,4.836451667E0,3.231349796E1,1.922487497E0,2.896099854E2,1.899999976E0,1.139999962E1
1.045864928E2,5.237621500E1,4.836421667E0,3.211349454E1,1.964179993E0,2.984100037E2,1.799999952E0,1.100000000E1
1.055864928E2,5.237622500E1,4.836361667E0,2.971347370E1,2.083595514E0,3.014400024E2,1.700000048E0,1.080000019E1
1.065864928E2,5.237623500E1,4.836333333E0,2.921347126E1,2.139700174E0,2.993900146E2,1.700000048E0,1.100000000E1
1.075864928E2,5.237624000E1,4.836303333E0,2.921346084E1,2.117052555E0,2.880799866E2,1.799999952E0,1.100000000E1
1.085864928E2,5.237624000E1,4.836273333E0,2.901344341E1,2.096463680E0,2.874400024E2,1.700000048E0,1.139999962E1
1.095864928E2,5.237624000E1,4.836230000E0,2.801341825E1,2.068153858E0,2.795400085E2,1.700000048E0,1.139999962E1
1.105864928E2,5.237623667E1,4.836186667E0,2.691338841E1,2.105728626E0,2.841000061E2,1.700000048E0,1.150000000E1
1.115864928E2,5.237624167E1,4.836138333E0,2.601336735E1,2.163377523E0,2.829200134E2,1.700000048E0,1.150000000E1
1.125864928E2,5.237625000E1,4.836081667E0,2.411334611E1,2.182422161E0,2.826300049E2,1.700000048E0,1.130000019E1
1.135864928E2,5.237625333E1,4.836048333E0,2.251333142E1,2.133523703E0,2.716000061E2,1.700000048E0,1.119999981E1
1.145864928E2,5.237625667E1,4.836020000E0,2.161331963E1,2.152568340E0,2.865000000E2,1.700000048E0,1.139999962E1
1.155864928E2,5.237626000E1,4.835993333E0,2.041330881E1,2.039844275E0,2.846799927E2,1.600000024E0,1.169999981E1
1.165864928E2,5.237626167E1,4.835968333E0,1.921329663E1,1.955429673E0,2.809599915E2,1.600000024E0,1.189999962E1
1.175864928E2,5.237626500E1,4.835945000E0,1.831328775E1,1.907560587E0,2.834500122E2,1.600000024E0,1.150000000E1
1.185864928E2,5.237626833E1,4.835926667E0,1.741328177E1,1.854544163E0,2.767099915E2,1.600000024E0,1.119999981E1
1.195864928E2,5.237627167E1,4.835900000E0,1.651327095E1,1.794836402E0,2.858299866E2,1.600000024E0,1.139999962E1
1.205864928E2,5.237630167E1,4.835825000E0,1.401326941E1,1.810278058E0,2.876900024E2,1.600000024E0,1.089999962E1
1.215864928E2,5.237631167E1,4.835781667E0,1.301325825E1,1.782997727E0,2.781099854E2,1.600000024E0,1.100000000E1
1.225864928E2,5.237631833E1,4.835731667E0,1.191323854E1,1.778880000E0,2.797099915E2,1.600000024E0,1.130000019E1
1.235864928E2,5.237632167E1,4.835685000E0,1.121321611E1,1.888515830E0,2.704700012E2,1.600000024E0,1.130000019E1
1.245864928E2,5.237631833E1,4.835640000E0,1.051318531E1,1.958003283E0,2.616700134E2,1.700000048E0,1.130000019E1
1.255864928E2,5.237631000E1,4.835593333E0,9.613146534E0,2.088742733E0,2.541000061E2,1.799999952E0,1.169999981E1
1.265864928E2,5.237629500E1,4.835553333E0,8.513102296E0,2.228747129E0,2.442299957E2,1.799999952E0,1.189999962E1
1.275864928E2,5.237628333E1,4.835515000E0,7.513063695E0,2.349192142E0,2.425899963E2,1.799999952E0,1.210000038E1
1.285864928E2,5.237627333E1,4.835478333E0,6.913028396E0,2.432062387E0,2.388000031E2,1.799999952E0,1.169999981E1
1.295864928E2,5.237626500E1,4.835448333E0,6.312999303E0,2.511329651E0,2.342100067E2,1.799999952E0,1.110000038E1
1.305864928E2,5.237626167E1,4.835411667E0,5.212973341E0,2.474269629E0,2.511000061E2,1.799999952E0,1.119999981E1
1.315864928E2,5.237626667E1,4.835378333E0,4.212960984E0,2.386252165E0,2.561799927E2,1.899999976E0,1.160000038E1
1.325864928E2,5.237626833E1,4.835348333E0,3.912945896E0,2.284852028E0,2.383000031E2,1.899999976E0,1.100000000E1
1.335864928E2,5.237626833E1,4.835320000E0,2.812929441E0,2.110875845E0,2.508899994E2,1.899999976E0,1.130000019E1
1.345864928E2,5.237627000E1,4.835295000E0,1.812917256E0,1.973445058E0,2.452100067E2,1.899999976E0,1.150000000E1
1.355864928E2,5.237626833E1,4.835275000E0,1.612903307E0,1.847852826E0,2.305099945E2,1.799999952E0,1.169999981E1
1.365864928E2,5.237626333E1,4.835256667E0,1.212885657E0,1.690347791E0,2.336600037E2,1.899999976E0,1.200000000E1
1.375864928E2,5.237625833E1,4.835243333E0,9.128709120E-1,1.536960602E0,2.324600067E2,1.799999952E0,1.169999981E1
1.385864928E2,5.237625167E1,4.835230000E0,1.012853833E0,1.404162169E0,2.253600006E2,1.799999952E0,1.200000000E1
1.395864928E2,5.237624500E1,4.835226667E0,1.312842561E0,1.301732540E0,2.138800049E2,1.799999952E0,1.219999981E1
1.405864928E2,5.237623333E1,4.835215000E0,2.012819448E0,1.210626721E0,2.193899994E2,1.799999952E0,1.230000019E1
1.415864928E2,5.237621833E1,4.835201667E0,2.512790699E0,1.216803312E0,2.144900055E2,1.799999952E0,1.160000038E1
1.425864928E2,5.237619000E1,4.835175000E0,1.912735535E0,1.205994129E0,2.130500031E2,1.799999952E0,1.130000019E1
1.435864928E2,5.237618333E1,4.835155000E0,2.312714584E0,1.209597230E0,2.252599945E2,1.799999952E0,1.160000038E1
1.445864928E2,5.237616667E1,4.835141667E0,1.912683501E0,1.207023621E0,2.136900024E2,1.799999952E0,1.189999962E1
1.455864928E2,5.237615167E1,4.835126667E0,1.712653785E0,1.157095551E0,2.216300049E2,1.799999952E0,1.200000000E1
1.465864928E2,5.237612667E1,4.835100000E0,1.512603289E0,1.181287527E0,2.112899933E2,1.799999952E0,1.169999981E1
1.475864928E2,5.237611000E1,4.835081667E0,1.412569303E0,1.234818578E0,2.164299927E2,1.799999952E0,1.169999981E1
1.485864928E2,5.237608167E1,4.835058333E0,1.112516076E0,1.283202529E0,2.262200012E2,1.700000048E0,1.150000000E1
1.495864928E2,5.237607167E1,4.835041667E0,1.112492394E0,1.286805511E0,2.277200012E2,1.700000048E0,1.130000019E1
1.505864928E2,5.237605667E1,4.835030000E0,8.124646141E-1,1.316659451E0,2.071999969E2,1.700000048E0,1.180000019E1
1.515864928E2,5.237603833E1,4.835031667E0,8.124399089E-1,1.313571095E0,1.983500061E2,1.799999952E0,1.200000000E1
1.525864928E2,5.237601833E1,4.835016667E0,8.124031914E-1,1.327468634E0,2.007799988E2,1.799999952E0,1.150000000E1
1.535864928E2,5.237600333E1,4.835000000E0,1.012372508E0,1.374823093E0,2.169600067E2,1.799999952E0,1.119999981E1
1.545864928E2,5.237598167E1,4.834978333E0,3.123295853E-1,1.445340037E0,2.149700012E2,1.799999952E0,1.130000019E1
1.555864928E2,5.237595167E1,4.834970000E0,-5.877172639E-1,1.493209124E0,1.955700073E2,1.700000048E0,1.119999981E1
1.565864928E2,5.237593000E1,4.834956667E0,-1.287755347E0,1.512768626E0,1.956699982E2,1.700000048E0,1.150000000E1
1.575864928E2,5.237590500E1,4.834943333E0,-1.887798098E0,1.534901619E0,1.968200073E2,1.600000024E0,1.130000019E1
1.585864928E2,5.237588167E1,4.834930000E0,-1.987838514E0,1.511224389E0,1.945399933E2,1.700000048E0,1.089999962E1
