"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.542968830E-1,2.443374991E-1,6.993250251E-1,-5.559124947E-1
5.567865570E-1,3.018124998E-1,5.726875067E-1,-4.643374979E-1
5.592762090E-1,3.444375098E-1,4.609000087E-1,-3.792249858E-1
5.617658670E-1,3.774375021E-1,3.650625050E-1,-2.993375063E-1
5.642555640E-1,3.987500072E-1,2.853125036E-1,-2.227499932E-1
5.667452500E-1,4.113999903E-1,2.096875012E-1,-1.578499973E-1
5.692348180E-1,4.178625047E-1,1.416250020E-1,-1.025749967E-1
5.717244140E-1,4.113999903E-1,7.246249914E-2,-5.678749830E-2
5.742140770E-1,4.071374834E-1,-2.062499989E-3,-2.804999985E-2
5.767037200E-1,4.039750099E-1,-8.607500046E-2,-9.899999946E-3
5.791934210E-1,3.987500072E-1,-1.787499934E-1,-2.474999987E-3
5.816831050E-1,3.911874890E-1,-2.744500041E-1,-1.374999993E-3
5.841726800E-1,3.826625049E-1,-3.649249971E-1,-5.637499969E-3
5.866622760E-1,3.731749952E-1,-4.479750097E-1,-2.062499896E-2
5.891519380E-1,3.646500111E-1,-5.086125135E-1,-4.606249928E-2
5.916415810E-1,3.561249971E-1,-5.308874846E-1,-9.295000136E-2
5.941312820E-1,3.455374837E-1,-5.234624743E-1,-1.461624950E-1
5.966209660E-1,3.359124959E-1,-4.883999825E-1,-1.929125041E-1
5.991105500E-1,3.242250085E-1,-4.298250079E-1,-2.418625057E-1
6.016001460E-1,3.114374876E-1,-3.553000093E-1,-2.833875120E-1
6.040898530E-1,3.008500040E-1,-2.681249976E-1,-3.217499852E-1
6.065795280E-1,2.943874896E-1,-1.819124967E-1,-3.525500000E-1
6.090691790E-1,2.890250087E-1,-9.679999948E-2,-3.812874854E-1
6.115588380E-1,2.912249863E-1,-1.264999993E-2,-4.025999904E-1
6.140484050E-1,2.975499928E-1,6.710000336E-2,-4.217124879E-1
6.165379960E-1,3.071750104E-1,1.469874978E-1,-4.324375093E-1
6.190277050E-1,3.210625052E-1,2.215124965E-1,-4.398624897E-1
6.215173790E-1,3.348124921E-1,2.906749845E-1,-4.387624860E-1
6.240070300E-1,3.507624865E-1,3.513124883E-1,-4.355999827E-1
6.264966880E-1,3.720749915E-1,4.065875113E-1,-4.281750023E-1
6.289863950E-1,3.976500034E-1,4.588375092E-1,-4.185499847E-1
6.314760810E-1,4.252874851E-1,4.992625117E-1,-4.153875113E-1
6.339656400E-1,4.519625008E-1,5.396875143E-1,-4.142875075E-1
6.364552370E-1,4.890874922E-1,5.715875030E-1,-4.133250117E-1
6.389449330E-1,5.274500251E-1,6.003249884E-1,-4.142875075E-1
6.414345760E-1,5.743374825E-1,6.205375195E-1,-4.196499884E-1
6.439242770E-1,6.338750124E-1,6.333249807E-1,-4.292750061E-1
6.464139610E-1,6.976749897E-1,6.344249845E-1,-4.377999902E-1
6.489035210E-1,7.732999921E-1,6.258999705E-1,-4.472874999E-1
6.513931170E-1,8.520874977E-1,5.981249809E-1,-4.632374942E-1
6.538827840E-1,9.340375066E-1,5.619624853E-1,-4.877125025E-1
6.563724270E-1,1.010625005E0,5.257999897E-1,-5.090249777E-1
6.588621270E-1,1.080887437E0,4.970625043E-1,-5.303375125E-1
6.613518110E-1,1.138362527E0,4.725874960E-1,-5.346000195E-1
6.638413710E-1,1.181949973E0,4.577375054E-1,-5.357000232E-1
6.663309670E-1,1.206424952E0,4.555374980E-1,-5.303375125E-1
6.688206990E-1,1.217012525E0,4.683249891E-1,-5.164499879E-1
6.713103740E-1,1.216050029E0,4.916999936E-1,-5.016000271E-1
6.738000250E-1,1.209587455E0,5.322625041E-1,-4.962374866E-1
6.762896830E-1,1.188274980E0,5.854749680E-1,-4.899125099E-1
6.787794090E-1,1.161737442E0,6.503750086E-1,-4.919750094E-1
6.812690950E-1,1.128737450E0,7.238000035E-1,-5.005000234E-1
6.837586540E-1,1.095737457E0,8.035500050E-1,-5.207124949E-1
6.862482510E-1,1.059574962E0,8.866000175E-1,-5.505499840E-1
6.887379140E-1,1.020249963E0,9.696499705E-1,-5.846499801E-1
6.912275570E-1,9.733625054E-1,1.059025049E0,-6.197124720E-1
6.937172760E-1,9.275749922E-1,1.149500012E0,-6.601374745E-1
6.962069600E-1,8.754624724E-1,1.244099975E0,-6.962999701E-1
6.986965200E-1,8.211500049E-1,1.338837504E0,-7.293000221E-1
7.011861160E-1,7.616124749E-1,1.423949957E0,-7.569375038E-1
7.036758240E-1,7.019374967E-1,1.509199977E0,-7.750874758E-1
7.061654990E-1,6.370375156E-1,1.585787535E0,-7.932375073E-1
7.086551700E-1,5.732374787E-1,1.650687456E0,-8.016250134E-1
7.111448290E-1,5.200250149E-1,1.712424994E0,-8.027250171E-1
7.136343910E-1,4.721750021E-1,1.771000028E0,-7.964000106E-1
7.161239820E-1,4.369750023E-1,1.832599998E0,-7.932375073E-1
7.186136910E-1,4.156624973E-1,1.894337535E0,-7.921375036E-1
7.211033650E-1,4.019125104E-1,1.962537527E0,-7.921375036E-1
7.235930120E-1,3.976500034E-1,2.036925077E0,-7.964000106E-1
7.260826700E-1,4.030124843E-1,2.126437426E0,-8.091874719E-1
7.285722330E-1,4.135999978E-1,2.210449934E0,-8.294000030E-1
7.310618240E-1,4.295499921E-1,2.292399883E0,-8.485124707E-1
7.335515320E-1,4.434374869E-1,2.368987560E0,-8.633624911E-1
7.360412060E-1,4.679124951E-1,2.436087370E0,-8.718875051E-1
7.385308340E-1,4.881249964E-1,2.497824907E0,-8.687250018E-1
7.410204920E-1,5.115000010E-1,2.547874928E0,-8.570374846E-1
7.435101890E-1,5.422999859E-1,2.595725060E0,-8.357250094E-1
7.459998750E-1,5.752999783E-1,2.638212442E0,-8.058875203E-1
7.484894340E-1,6.125624776E-1,2.677675009E0,-7.708249688E-1
7.509790300E-1,6.529874802E-1,2.715899944E0,-7.303999662E-1
7.534687140E-1,6.987749934E-1,2.740375042E0,-6.899750233E-1
7.559583890E-1,7.541875243E-1,2.746837378E0,-6.452875137E-1
7.584480400E-1,8.126249909E-1,2.735150099E0,-6.006000042E-1
7.609376990E-1,8.754624724E-1,2.712737560E0,-5.537124872E-1
7.634273960E-1,9.403625131E-1,2.680837393E0,-5.016000271E-1
7.659170810E-1,9.935749769E-1,2.632987499E0,-4.472874999E-1
7.684066260E-1,1.024512529E0,2.565887451E0,-3.994374871E-1
7.708962220E-1,1.023412466E0,2.481874943E0,-3.547500074E-1
7.733858850E-1,9.946749806E-1,2.401987553E0,-3.185875118E-1
7.758755280E-1,9.637374878E-1,2.350975037E0,-2.993375063E-1
7.783652290E-1,9.403625131E-1,2.333925009E0,-2.833875120E-1
7.808549130E-1,9.147874713E-1,2.331724882E0,-2.781625092E-1
7.833444530E-1,8.860499859E-1,2.339287519E0,-2.844874859E-1
7.858340490E-1,8.520874977E-1,2.348774910E0,-3.036000133E-1
7.883237120E-1,8.126249909E-1,2.358399868E0,-3.280749917E-1
7.908133550E-1,7.775624990E-1,2.373250008E0,-3.579125106E-1
7.933030560E-1,7.466250062E-1,2.389199972E0,-3.866499960E-1
7.957927400E-1,7.178875208E-1,2.398824930E0,-4.207499921E-1
7.982822900E-1,6.850249767E-1,2.404187441E0,-4.611749947E-1
8.007718860E-1,6.540874839E-1,2.406250000E0,-4.984374940E-1
8.032615930E-1,6.285125017E-1,2.404187441E0,-5.377625227E-1
8.057512680E-1,5.955125093E-1,2.384937525E0,-5.846499801E-1
8.082409190E-1,5.625125170E-1,2.355237484E0,-6.271374822E-1
8.107305780E-1,5.263500214E-1,2.316874981E0,-6.558749676E-1
8.132202700E-1,5.178250074E-1,2.280712605E0,-6.686624885E-1
8.157099560E-1,5.189250112E-1,2.250874996E0,-6.697624922E-1
8.181995150E-1,5.040749907E-1,2.209349871E0,-6.749874949E-1
8.206891110E-1,4.955500066E-1,2.173187494E0,-6.771875024E-1
8.231787740E-1,4.944500029E-1,2.140187502E0,-6.697624922E-1
8.256684170E-1,4.923875034E-1,2.116812468E0,-6.643999815E-1
8.281580940E-1,4.966500103E-1,2.102925062E0,-6.569749713E-1
8.306477780E-1,5.018749833E-1,2.093437433E0,-6.462500095E-1
8.331373380E-1,5.103999972E-1,2.083812475E0,-6.421250105E-1
8.356269340E-1,5.296499729E-1,2.072124958E0,-6.335999966E-1
8.381165960E-1,5.572875142E-1,2.058237553E0,-6.228749752E-1
8.406062390E-1,5.880874991E-1,2.040225029E0,-6.197124720E-1
8.430959450E-1,6.275500059E-1,2.020974874E0,-6.154500246E-1
8.455856290E-1,6.689375043E-1,1.998700023E0,-6.100875139E-1
8.480751890E-1,7.200874686E-1,1.976287484E0,-6.026625037E-1
8.505647850E-1,7.701374888E-1,1.956074953E0,-5.920749903E-1
8.530544920E-1,8.254125118E-1,1.932700038E0,-5.813499689E-1
8.555441670E-1,8.839874864E-1,1.914549947E0,-5.685625076E-1
8.580338080E-1,9.361000061E-1,1.895437479E0,-5.516499877E-1
8.605234670E-1,9.904124737E-1,1.874125004E0,-5.357000232E-1
8.630131640E-1,1.054212451E0,1.855012536E0,-5.164499879E-1
8.655028500E-1,1.124475002E0,1.835899949E0,-4.910124838E-1
8.679924090E-1,1.195837498E0,1.825175047E0,-4.675000012E-1
8.704820060E-1,1.277787447E0,1.837962508E0,-4.580124915E-1
8.729716540E-1,1.362900019E0,1.856112480E0,-4.515500069E-1
8.754612970E-1,1.452275038E0,1.880587459E0,-4.302375019E-1
8.779509980E-1,1.540549994E0,1.905062437E0,-4.047999978E-1
8.804406820E-1,1.632125020E0,1.930637479E0,-3.695999980E-1
8.829302420E-1,1.722599983E0,1.952912450E0,-3.356375098E-1
8.854198380E-1,1.811975002E0,1.981649995E0,-3.026374876E-1
8.879095540E-1,1.900249958E0,2.015749931E0,-2.716999948E-1
8.903992290E-1,1.983299971E0,2.048749924E0,-2.408999950E-1
8.928888800E-1,2.056725025E0,2.077487469E0,-2.121624947E-1
8.953785390E-1,2.122725010E0,2.089174986E0,-1.854874939E-1
8.978682360E-1,2.185562372E0,2.092337370E0,-1.557874978E-1
9.003579220E-1,2.241937399E0,2.077487469E0,-1.185249984E-1
9.028474810E-1,2.281262398E0,2.039124966E0,-8.442500234E-2
9.053370780E-1,2.295150042E0,1.966799974E0,-6.421250105E-2
9.078267400E-1,2.297212601E0,1.855012536E0,-4.826249927E-2
9.103163830E-1,2.301475048E0,1.708162546E0,-1.842499897E-2
9.128060840E-1,2.298312426E0,1.531474948E0,1.883750036E-2
9.152957680E-1,2.283462524E0,1.347362518E0,5.183750018E-2
9.177853280E-1,2.258987427E0,1.166412473E0,8.799999952E-2
9.202749240E-1,2.242899895E0,9.983875155E-1,1.284250021E-1
9.227646310E-1,2.235475063E0,8.610249758E-1,1.742125005E-1
9.252543060E-1,2.232312441E0,7.705500126E-1,2.274249941E-1
9.277439570E-1,2.242899895E0,7.301250100E-1,2.784374952E-1
9.302336160E-1,2.264212370E0,7.397499681E-1,3.273875117E-1
9.327233090E-1,2.290887594E0,7.875999808E-1,3.806000054E-1
9.352129950E-1,2.327049971E0,8.769749999E-1,4.380750060E-1
9.377025540E-1,2.368575096E0,9.887624979E-1,5.040749907E-1
9.401921510E-1,2.413262606E0,1.120762467E0,5.732374787E-1
9.426817930E-1,2.450525045E0,1.265412450E0,6.381375194E-1
9.451714360E-1,2.485587597E0,1.410200000E0,7.073000073E-1
9.476611370E-1,2.511162519E0,1.547425032E0,7.712374926E-1
9.501508210E-1,2.522850037E0,1.679425001E0,8.244500160E-1
9.526403810E-1,2.527112484E0,1.793274999E0,8.711999655E-1
9.551299770E-1,2.521749973E0,1.881549954E0,9.106624722E-1
9.576196890E-1,2.506900072E0,1.939025044E0,9.394000173E-1
9.601093640E-1,2.478162527E0,1.966799974E0,9.596124887E-1
9.625990150E-1,2.441999912E0,1.967762470E0,9.724000096E-1
9.650886740E-1,2.399374962E0,1.935862541E0,9.766625166E-1
9.675783710E-1,2.350425005E0,1.882650018E0,9.690999985E-1
9.700680570E-1,2.295150042E0,1.814587474E0,9.468249679E-1
9.725576160E-1,2.235475063E0,1.741162539E0,9.180874825E-1
9.750472130E-1,2.168512583E0,1.662374973E0,8.882499933E-1
9.775368750E-1,2.103612423E0,1.579324961E0,8.563500047E-1
