"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.593207227E2,5.237526667E1,4.900196667E0,-5.508088643E-1,7.061988711E-1,3.200000000E1,1.600000024E0,1.650000000E1
1.603207227E2,5.237527667E1,4.900191667E0,-2.507976307E-1,6.609033346E-1,1.161999989E1,1.700000048E0,1.670000076E1
1.613207227E2,5.237528833E1,4.900181667E0,1.492130562E-1,6.408291459E-1,3.376499939E2,1.700000048E0,1.660000038E1
1.623207227E2,5.237530333E1,4.900158333E0,4.492207143E-1,6.959044337E-1,3.183299866E2,1.600000024E0,1.689999962E1
1.633207227E2,5.237531667E1,4.900133333E0,7.492250486E-1,7.427441478E-1,3.191700134E2,1.600000024E0,1.629999924E1
1.643207227E2,5.237532833E1,4.900116667E0,7.492318648E-1,7.689949870E-1,3.235400085E2,1.600000024E0,1.700000000E1
1.653207227E2,5.237533667E1,4.900100000E0,9.492339689E-1,8.389972448E-1,3.165799866E2,1.600000024E0,1.700000000E1
1.663207227E2,5.237534833E1,4.900083333E0,9.492407849E-1,9.259852767E-1,3.147999878E2,1.600000024E0,1.750000000E1
1.673207227E2,5.237536000E1,4.900063333E0,9.492456657E-1,9.939286113E-1,3.160499878E2,1.600000024E0,1.710000038E1
1.683207227E2,5.237537000E1,4.900046667E0,8.492501255E-1,1.082460880E0,3.043999939E2,1.600000024E0,1.670000076E1
1.693207227E2,5.237537500E1,4.900033333E0,8.492494525E-1,1.163272262E0,2.900400085E2,1.600000024E0,1.670000076E1
1.703207227E2,5.237538167E1,4.900013333E0,9.492472650E-1,1.212170839E0,3.040000000E2,1.600000024E0,1.689999962E1
1.713207227E2,5.237538833E1,4.899995000E0,1.049246045E0,1.244083643E0,3.040000000E2,1.600000024E0,1.729999924E1
1.723207227E2,5.237539500E1,4.899980000E0,1.149246760E0,1.219376922E0,3.040000000E2,1.600000024E0,1.770000076E1
1.733207227E2,5.237540333E1,4.899960000E0,1.349246929E0,1.179228663E0,3.040000000E2,1.700000048E0,1.689999962E1
1.743207227E2,5.237540833E1,4.899946667E0,1.549246256E0,1.138565540E0,3.040000000E2,1.700000048E0,1.700000000E1
1.753207227E2,5.237541333E1,4.899933333E0,1.749245582E0,1.041797757E0,3.040000000E2,1.700000048E0,1.710000038E1
1.763207227E2,5.237541833E1,4.899921667E0,1.849245877E0,9.275294542E-1,3.040000000E2,1.700000048E0,1.750000000E1
1.773207227E2,5.237541833E1,4.899925000E0,1.949247812E0,8.081138730E-1,3.040000000E2,1.700000048E0,1.679999924E1
1.783207227E2,5.237542667E1,4.899920000E0,2.049256689E0,6.943602562E-1,3.161199951E2,1.700000048E0,1.670000076E1
1.793207227E2,5.237543833E1,4.899918333E0,2.049272213E0,6.222991943E-1,3.233200073E2,1.700000048E0,1.689999962E1
1.803207227E2,5.237544500E1,4.899903333E0,1.849272928E0,5.867833495E-1,3.040000000E2,1.700000048E0,1.710000038E1
1.813207227E2,5.237545167E1,4.899886667E0,1.949272676E0,5.347964168E-1,3.040000000E2,1.799999952E0,1.710000038E1
